Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
USD,15,WANITA,Flexi Cermat,,15,4118,6177,7722,9653,11583,13514,19305,28958,38610,180200
USD,15,WANITA,Flexi Cermat,35,5,8377,12566,16754,20943,25131,29320,41885,62828,78180,390900
USD,15,WANITA,Flexi Cermat,,10,4302,6453,8066,10083,12099,14116,20165,30248,40330,188200
USD,15,WANITA,Flexi Cermat,,15,2918,4377,5836,7295,8208,9576,13680,20520,27360,127700
IDR,16,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,16,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,16,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,16,PRIA,Flexi Berkah,94,5,25.4,38.1,50.8,63.5,75.0,83.3,119.1,178.6,238.1,1,111.5
IDR,16,PRIA,Flexi Berkah,,10,13.2,19.2,23.5,29.4,35.3,41.2,58.8,82.7,110.3,551.5
IDR,16,PRIA,Flexi Berkah,,15,9.7,13.1,17.5,19.4,23.3,27.2,38.9,58.3,75.0,364.0
IDR,16,PRIA,Flexi Cermat,15,5,139.9,209.9,279.9,349.8,419.8,489.8,699.7,1,049.5,1,399.3,6,996.5
IDR,16,PRIA,Flexi Cermat,,10,73.5,110.3,147.0,183.8,220.5,257.3,367.6,551.3,735.1,3,675.5
IDR,16,PRIA,Flexi Cermat,25,5,81.5,122.3,163.1,203.8,244.6,285.4,407.7,611.5,761.0,3,805.0
IDR,16,PRIA,Flexi Cermat,,10,46.1,69.1,86.4,108.0,129.6,151.2,216.0,323.9,431.9,2,015.5
IDR,16,PRIA,Flexi Cermat,,15,31.4,47.0,62.7,75.0,88.2,102.9,147.0,220.4,293.9,1,371.5
IDR,16,PRIA,Flexi Cermat,35,5,48.1,72.2,90.2,112.7,135.3,157.8,225.5,338.2,450.9,2,104.0
IDR,16,PRIA,Flexi Cermat,,10,27.1,40.6,54.2,67.7,76.2,88.9,127.0,190.5,254.0,1,185.0
IDR,16,PRIA,Flexi Cermat,,15,19.4,29.2,38.9,48.6,58.3,68.0,91.2,136.7,182.3,850.5
USD,16,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,16,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,16,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,16,PRIA,Flexi Berkah,94,5,10034,15051,20068,25085,30102,35119,50170,70238,93650,468250
USD,16,PRIA,Flexi Berkah,,10,5574,7839,10452,13065,15678,18291,26130,39195,52260,243900
USD,16,PRIA,Flexi Berkah,,15,3823,5735,7500,8960,10752,12544,17920,26880,35840,167250
USD,16,PRIA,Flexi Cermat,15,5,16838,25257,33676,42095,50514,58933,84190,126285,168380,841900
USD,16,PRIA,Flexi Cermat,,10,8741,13112,17482,21853,26223,30594,43705,65558,87410,437050
USD,16,PRIA,Flexi Cermat,25,5,12239,18359,24478,30598,36717,42837,61195,85673,114230,571150
USD,16,PRIA,Flexi Cermat,,10,6689,9407,12542,15678,18813,21949,31355,47033,62710,292650
USD,16,PRIA,Flexi Cermat,,15,4214,6321,7900,9875,11850,13825,19750,29625,39500,184350
USD,16,PRIA,Flexi Cermat,35,5,8708,13062,17416,21770,26124,30478,43540,65310,81280,406400
USD,16,PRIA,Flexi Cermat,,10,4475,6713,8392,10490,12588,14686,20980,31470,41960,195800
USD,16,PRIA,Flexi Cermat,,15,3007,4511,6014,7500,8457,9867,14095,21143,28190,131550
IDR,16,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,16,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,16,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,16,WANITA,Flexi Berkah,94,5,21.8,32.7,43.6,54.6,65.5,75.0,102.3,153.5,204.6,955.0
IDR,16,WANITA,Flexi Berkah,,10,11.4,17.1,20.2,25.3,30.3,35.4,50.5,75.0,94.7,473.5
IDR,16,WANITA,Flexi Berkah,,15,8.1,10.9,14.6,18.2,19.4,22.6,32.4,48.5,64.7,303.5
IDR,16,WANITA,Flexi Cermat,15,5,132.4,198.6,264.8,331.1,397.3,463.5,662.1,993.2,1,324.2,6,621.0
IDR,16,WANITA,Flexi Cermat,,10,71.4,107.1,142.7,178.4,214.1,249.8,356.9,535.3,713.7,3,568.5
IDR,16,WANITA,Flexi Cermat,25,5,80.9,121.3,161.7,202.2,242.6,283.0,404.4,606.5,754.7,3,773.5
IDR,16,WANITA,Flexi Cermat,,10,44.3,66.4,83.0,103.8,124.5,145.3,207.6,311.3,415.1,1,937.5
IDR,16,WANITA,Flexi Cermat,,15,30.4,45.6,60.8,75.0,85.4,99.7,142.4,213.6,284.8,1,329.0
IDR,16,WANITA,Flexi Cermat,35,5,47.2,70.8,88.5,110.6,132.7,154.8,221.2,331.8,442.4,2,064.5
IDR,16,WANITA,Flexi Cermat,,10,26.2,39.4,52.5,65.6,75.0,86.1,123.0,184.5,246.0,1,148.0
IDR,16,WANITA,Flexi Cermat,,15,18.6,24.8,33.1,41.4,49.7,57.9,77.6,116.4,155.2,724.0
USD,16,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,16,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,16,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,16,WANITA,Flexi Berkah,94,5,8620,12930,17240,21550,25860,30170,43100,64650,80450,402250
USD,16,WANITA,Flexi Berkah,,10,4490,6735,8418,10523,12627,14732,21045,31568,42090,196400
USD,16,WANITA,Flexi Berkah,,15,3195,4793,6390,7500,8988,10486,14980,22470,29960,139800
USD,16,WANITA,Flexi Cermat,15,5,16780,25170,33560,41950,50340,58730,83900,125850,167800,839000
USD,16,WANITA,Flexi Cermat,,10,8650,12975,17300,21625,25950,30275,43250,64875,86500,432500
USD,16,WANITA,Flexi Cermat,25,5,11866,17799,23732,29665,35598,41531,59330,83063,110750,553750
USD,16,WANITA,Flexi Cermat,,10,6558,9222,12296,15370,18444,21518,30740,46110,61480,286900
USD,16,WANITA,Flexi Cermat,,15,4122,6183,7730,9663,11595,13528,19325,28988,38650,180350
USD,16,WANITA,Flexi Cermat,35,5,8396,12594,16792,20990,25188,29386,41980,62970,78360,391800
USD,16,WANITA,Flexi Cermat,,10,4308,6462,8078,10098,12117,14137,20195,30293,40390,188500
USD,16,WANITA,Flexi Cermat,,15,2922,4383,5844,7305,8220,9590,13700,20550,27400,127850
IDR,17,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,17,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,17,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,17,PRIA,Flexi Berkah,93,5,26.1,39.1,52.2,65.2,75.0,85.6,122.3,183.4,244.5,1,141.0
IDR,17,PRIA,Flexi Berkah,,10,13.6,19.2,24.1,30.2,36.2,42.2,60.4,84.9,113.2,566.0
IDR,17,PRIA,Flexi Berkah,,15,10.0,13.5,17.9,20.0,23.9,27.9,39.9,59.9,75.0,374.0
IDR,17,PRIA,Flexi Cermat,15,5,140.1,210.1,280.1,350.1,420.2,490.2,700.3,1,050.4,1,400.5,7,002.5
IDR,17,PRIA,Flexi Cermat,,10,73.7,110.5,147.3,184.1,221.0,257.8,368.3,552.4,736.5,3,682.5
IDR,17,PRIA,Flexi Cermat,25,5,81.6,122.4,163.2,204.0,244.8,285.6,408.1,612.1,761.7,3,808.5
IDR,17,PRIA,Flexi Cermat,,10,46.1,69.2,86.5,108.1,129.7,151.3,216.2,324.2,432.3,2,017.5
IDR,17,PRIA,Flexi Cermat,,15,31.4,47.1,62.8,75.0,88.3,103.0,147.2,220.7,294.3,1,373.5
IDR,17,PRIA,Flexi Cermat,35,5,48.2,72.3,90.4,113.0,135.5,158.1,225.9,338.9,451.8,2,108.5
IDR,17,PRIA,Flexi Cermat,,10,27.1,40.7,54.2,67.8,76.3,89.0,127.1,190.7,254.2,1,186.0
IDR,17,PRIA,Flexi Cermat,,15,19.5,29.2,39.0,48.7,58.4,68.2,91.3,137.0,182.6,852.5
USD,17,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,17,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,17,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,17,PRIA,Flexi Berkah,93,5,10301,15452,20602,25753,30903,36054,51505,72105,96140,480700
USD,17,PRIA,Flexi Berkah,,10,5722,8048,10730,13413,16095,18778,26825,40238,53650,250350
USD,17,PRIA,Flexi Berkah,,15,3914,5871,7500,9175,11010,12845,18350,27525,36700,171250
USD,17,PRIA,Flexi Cermat,15,5,16842,25263,33684,42105,50526,58947,84210,126315,168420,842100
USD,17,PRIA,Flexi Cermat,,10,8748,13122,17496,21870,26244,30618,43740,65610,87480,437400
USD,17,PRIA,Flexi Cermat,25,5,12251,18377,24502,30628,36753,42879,61255,85755,114340,571700
USD,17,PRIA,Flexi Cermat,,10,6696,9417,12556,15695,18834,21973,31390,47085,62780,292950
USD,17,PRIA,Flexi Cermat,,15,4219,6329,7912,9890,11868,13846,19780,29670,39560,184600
USD,17,PRIA,Flexi Cermat,35,5,8728,13092,17456,21820,26184,30548,43640,65460,81460,407300
USD,17,PRIA,Flexi Cermat,,10,4482,6723,8404,10505,12606,14707,21010,31515,42020,196100
USD,17,PRIA,Flexi Cermat,,15,3012,4518,6024,7500,8472,9884,14120,21180,28240,131800
IDR,17,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,17,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,17,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,17,WANITA,Flexi Berkah,93,5,22.4,33.6,44.8,56.1,67.3,75.0,105.1,157.7,210.2,980.5
IDR,17,WANITA,Flexi Berkah,,10,11.7,17.5,20.8,26.0,31.1,36.3,51.9,75.0,97.3,486.5
IDR,17,WANITA,Flexi Berkah,,15,8.3,11.2,15.0,18.7,20.0,23.3,33.3,50.0,66.6,312.0
IDR,17,WANITA,Flexi Cermat,15,5,132.5,198.8,265.1,331.4,397.6,463.9,662.7,994.1,1,325.4,6,627.0
IDR,17,WANITA,Flexi Cermat,,10,71.5,107.3,143.0,178.8,214.5,250.3,357.6,536.3,715.1,3,575.5
IDR,17,WANITA,Flexi Cermat,25,5,80.9,121.4,161.9,202.3,242.8,283.3,404.7,607.0,755.3,3,776.5
IDR,17,WANITA,Flexi Cermat,,10,44.3,66.4,83.0,103.8,124.6,145.3,207.6,311.4,415.2,1,937.5
IDR,17,WANITA,Flexi Cermat,,15,30.4,45.6,60.8,75.0,85.5,99.8,142.6,213.8,285.1,1,330.5
IDR,17,WANITA,Flexi Cermat,35,5,47.3,70.9,88.6,110.8,132.9,155.1,221.6,332.3,443.1,2,068.0
IDR,17,WANITA,Flexi Cermat,,10,26.3,39.4,52.6,65.7,75.0,86.3,123.3,184.9,246.5,1,150.0
IDR,17,WANITA,Flexi Cermat,,15,18.6,24.9,33.1,41.4,49.7,58.0,77.7,116.5,155.3,725.0
USD,17,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,17,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,17,WANITA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,17,WANITA,Flexi Berkah,93,5,8855,13283,17710,22138,26565,30993,44275,66413,82640,413200
USD,17,WANITA,Flexi Berkah,,10,4612,6918,8648,10810,12972,15134,21620,32430,43240,201800
USD,17,WANITA,Flexi Berkah,,15,3285,4928,6570,7700,9240,10780,15400,23100,30800,143700
USD,17,WANITA,Flexi Cermat,15,5,16791,25187,33582,41978,50373,58769,83955,125933,167910,839550
USD,17,WANITA,Flexi Cermat,,10,8656,12984,17312,21640,25968,30296,43280,64920,86560,432800
USD,17,WANITA,Flexi Cermat,25,5,11874,17811,23748,29685,35622,41559,59370,83115,110820,554100
USD,17,WANITA,Flexi Cermat,,10,6559,9224,12298,15373,18447,21522,30745,46118,61490,286950
USD,17,WANITA,Flexi Cermat,,15,4126,6189,7738,9673,11607,13542,19345,29018,38690,180550
USD,17,WANITA,Flexi Cermat,35,5,8414,12621,16828,21035,25242,29449,42070,63105,78530,392650
USD,17,WANITA,Flexi Cermat,,10,4314,6471,8088,10110,12132,14154,20220,30330,40440,188700
USD,17,WANITA,Flexi Cermat,,15,2927,4391,5854,7318,8232,9604,13720,20580,27440,128050
IDR,18,PRIA,Flexi Amanah,YRT,1,-,-,-,4.9,5.9,6.8,9.8,14.6,19.5,97.5
IDR,18,PRIA,Flexi Amanah,5,5,-,-,-,4.9,5.9,6.8,9.8,14.6,19.5,97.5
IDR,18,PRIA,Flexi Amanah,10,10,-,-,-,4.9,5.9,6.9,9.8,14.7,19.6,98.0
IDR,18,PRIA,Flexi Berkah,92,5,26.8,40.1,53.5,66.9,75.2,87.8,125.4,188.1,250.8,1,170.5
IDR,18,PRIA,Flexi Berkah,,10,13.9,19.2,24.8,31.0,37.1,43.3,61.9,87.1,116.1,580.5
IDR,18,PRIA,Flexi Berkah,,15,10.2,13.8,18.4,20.5,24.5,28.6,40.9,61.4,76.7,383.5
IDR,18,PRIA,Flexi Cermat,15,5,140.2,210.3,280.4,350.5,420.5,490.6,700.9,1,051.4,1,401.8,7,009.0
IDR,18,PRIA,Flexi Cermat,,10,73.8,110.7,147.6,184.5,221.4,258.3,369.0,553.4,737.9,3,689.5
IDR,18,PRIA,Flexi Cermat,25,5,81.7,122.5,163.4,204.2,245.0,285.9,408.4,612.6,762.4,3,812.0
IDR,18,PRIA,Flexi Cermat,,10,46.2,69.2,86.6,108.2,129.8,151.5,216.4,324.6,432.8,2,019.5
IDR,18,PRIA,Flexi Cermat,,15,31.4,47.2,62.9,75.0,88.4,103.2,147.4,221.1,294.8,1,375.5
IDR,18,PRIA,Flexi Cermat,35,5,48.3,72.4,90.5,113.2,135.8,158.4,226.4,339.5,452.7,2,112.5
IDR,18,PRIA,Flexi Cermat,,10,27.1,40.7,54.3,67.8,76.3,89.0,127.2,190.7,254.3,1,187.0
IDR,18,PRIA,Flexi Cermat,,15,19.5,29.3,39.0,48.8,58.6,68.3,91.5,137.3,183.0,854.0
USD,18,PRIA,Flexi Amanah,YRT,1,-,-,-,488,585,683,975,1463,1950,9750
USD,18,PRIA,Flexi Amanah,5,5,-,-,-,488,585,683,975,1463,1950,9750
USD,18,PRIA,Flexi Amanah,10,10,-,-,-,490,588,686,980,1470,1960,9800
USD,18,PRIA,Flexi Berkah,92,5,10567,15851,21134,26418,31701,36985,52835,73965,98620,493100
USD,18,PRIA,Flexi Berkah,,10,5870,8256,11008,13760,16512,19264,27520,41280,55040,256850
USD,18,PRIA,Flexi Berkah,,15,4006,6009,7512,9390,11268,13146,18780,28170,37560,175300
USD,18,PRIA,Flexi Cermat,15,5,16846,25269,33692,42115,50538,58961,84230,126345,168460,842300
USD,18,PRIA,Flexi Cermat,,10,8754,13131,17508,21885,26262,30639,43770,65655,87540,437700
USD,18,PRIA,Flexi Cermat,25,5,12263,18395,24526,30658,36789,42921,61315,85838,114450,572250
USD,18,PRIA,Flexi Cermat,,10,6702,9426,12568,15710,18852,21994,31420,47130,62840,293250
USD,18,PRIA,Flexi Cermat,,15,4225,6338,7922,9903,11883,13864,19805,29708,39610,184850
USD,18,PRIA,Flexi Cermat,35,5,8747,13121,17494,21868,26241,30615,43735,65603,81630,408150
USD,18,PRIA,Flexi Cermat,,10,4490,6735,8418,10523,12627,14732,21045,31568,42090,196400
USD,18,PRIA,Flexi Cermat,,15,3017,4526,6034,7500,8484,9898,14140,21210,28280,132000
IDR,18,WANITA,Flexi Amanah,YRT,1,-,-,-,-,4.5,5.3,7.6,11.3,15.1,75.5
IDR,18,WANITA,Flexi Amanah,5,5,-,-,-,-,4.5,5.3,7.6,11.3,15.1,75.5
IDR,18,WANITA,Flexi Amanah,10,10,-,-,-,-,4.6,5.3,7.6,11.4,15.2,76.0
IDR,18,WANITA,Flexi Berkah,92,5,23.0,34.5,46.0,57.5,69.0,75.5,107.9,161.8,215.7,1,006.5
IDR,18,WANITA,Flexi Berkah,,10,12.0,18.0,21.3,26.7,32.0,37.3,53.3,75.0,99.9,499.5
IDR,18,WANITA,Flexi Berkah,,15,8.5,11.5,15.4,19.2,20.5,23.9,34.2,51.2,68.3,320.5
IDR,18,WANITA,Flexi Cermat,15,5,132.7,199.0,265.3,331.6,398.0,464.3,663.3,994.9,1,326.5,6,632.5
IDR,18,WANITA,Flexi Cermat,,10,71.6,107.5,143.3,179.1,214.9,250.7,358.2,537.3,716.4,3,582.0
IDR,18,WANITA,Flexi Cermat,25,5,81.0,121.5,162.0,202.5,243.0,283.5,405.0,607.4,755.9,3,779.5
IDR,18,WANITA,Flexi Cermat,,10,44.3,66.5,83.1,103.8,124.6,145.4,207.7,311.5,415.3,1,938.0
IDR,18,WANITA,Flexi Cermat,,15,30.4,45.6,60.9,75.0,85.6,99.9,142.7,214.0,285.3,1,331.5
IDR,18,WANITA,Flexi Cermat,35,5,47.3,71.0,88.8,111.0,133.2,155.4,222.0,332.9,443.9,2,071.5
IDR,18,WANITA,Flexi Cermat,,10,26.3,39.5,52.7,65.9,75.0,86.4,123.5,185.2,246.9,1,152.0
IDR,18,WANITA,Flexi Cermat,,15,18.7,24.9,33.2,41.5,49.7,58.0,77.8,116.6,155.5,725.5
USD,18,WANITA,Flexi Amanah,YRT,1,-,-,-,-,453,529,755,1133,1510,7550
USD,18,WANITA,Flexi Amanah,5,5,-,-,-,-,453,529,755,1133,1510,7550
USD,18,WANITA,Flexi Amanah,10,10,-,-,-,-,456,532,760,1140,1520,7600
USD,18,WANITA,Flexi Berkah,92,5,9089,13634,18178,22723,27267,31812,45445,68168,84830,424150
USD,18,WANITA,Flexi Berkah,,10,4734,7101,8876,11095,13314,15533,22190,33285,44380,207100
USD,18,WANITA,Flexi Berkah,,15,3375,5063,6750,7910,9492,11074,15820,23730,31640,147650
USD,18,WANITA,Flexi Cermat,15,5,16801,25202,33602,42003,50403,58804,84005,126008,168010,840050
USD,18,WANITA,Flexi Cermat,,10,8663,12995,17326,21658,25989,30321,43315,64973,86630,433150
USD,18,WANITA,Flexi Cermat,25,5,11883,17825,23766,29708,35649,41591,59415,83183,110910,554550
USD,18,WANITA,Flexi Cermat,,10,6560,9225,12300,15375,18450,21525,30750,46125,61500,287000
USD,18,WANITA,Flexi Cermat,,15,4130,6195,7744,9680,11616,13552,19360,29040,38720,180700
USD,18,WANITA,Flexi Cermat,35,5,8432,12648,16864,21080,25296,29512,42160,63240,78700,393500
USD,18,WANITA,Flexi Cermat,,10,4320,6480,8100,10125,12150,14175,20250,30375,40500,189000
USD,18,WANITA,Flexi Cermat,,15,2932,4398,5864,7330,8247,9622,13745,20618,27490,128300
IDR,19,PRIA,Flexi Amanah,YRT,1,-,-,-,4.9,5.9,6.8,9.8,14.6,19.5,97.5
IDR,19,PRIA,Flexi Amanah,5,5,-,-,-,4.9,5.9,6.8,9.8,14.6,19.5,97.5
IDR,19,PRIA,Flexi Amanah,10,10,-,-,-,4.9,5.9,6.9,9.8,14.7,19.6,98.0
IDR,19,PRIA,Flexi Berkah,91,5,27.4,41.1,54.8,68.6,77.1,90.0,128.6,192.8,257.1,1,200.0
IDR,19,PRIA,Flexi Berkah,,10,14.3,19.2,25.4,31.8,38.1,44.5,63.5,89.3,119.0,595.0
IDR,19,PRIA,Flexi Berkah,,15,10.5,14.2,18.9,21.0,25.2,29.4,42.0,62.9,78.7,393.5
IDR,19,PRIA,Flexi Cermat,15,5,140.3,210.5,280.6,350.8,420.9,491.1,701.5,1,052.3,1,403.0,7,015.0
IDR,19,PRIA,Flexi Cermat,,10,73.9,110.9,147.9,184.9,221.8,258.8,369.7,554.6,739.4,3,697.0
IDR,19,PRIA,Flexi Cermat,25,5,81.8,122.6,163.5,204.4,245.3,286.2,408.8,613.2,763.1,3,815.5
IDR,19,PRIA,Flexi Cermat,,10,46.2,69.3,86.6,108.3,130.0,151.6,216.6,324.9,433.2,2,021.5
IDR,19,PRIA,Flexi Cermat,,15,31.5,47.2,63.0,75.0,88.5,103.3,147.6,221.3,295.1,1,377.5
IDR,19,PRIA,Flexi Cermat,35,5,48.4,72.6,90.7,113.4,136.1,158.8,226.8,340.2,453.6,2,117.0
IDR,19,PRIA,Flexi Cermat,,10,27.2,40.7,54.3,67.9,76.4,89.1,127.3,191.0,254.6,1,188.0
IDR,19,PRIA,Flexi Cermat,,15,19.6,29.3,39.1,48.9,58.7,68.5,91.7,137.6,183.4,856.0
USD,19,PRIA,Flexi Amanah,YRT,1,-,-,-,488,585,683,975,1463,1950,9750
USD,19,PRIA,Flexi Amanah,5,5,-,-,-,488,585,683,975,1463,1950,9750
USD,19,PRIA,Flexi Amanah,10,10,-,-,-,490,588,686,980,1470,1960,9800
USD,19,PRIA,Flexi Berkah,91,5,10834,16251,21668,27085,32502,37919,54170,75840,101120,505600
USD,19,PRIA,Flexi Berkah,,10,6019,8465,11286,14108,16929,19751,28215,42323,56430,263350
USD,19,PRIA,Flexi Berkah,,15,4098,6147,7684,9605,11526,13447,19210,28815,38420,179250
USD,19,PRIA,Flexi Cermat,15,5,16850,25275,33700,42125,50550,58975,84250,126375,168500,842500
USD,19,PRIA,Flexi Cermat,,10,8760,13140,17520,21900,26280,30660,43800,65700,87600,438000
USD,19,PRIA,Flexi Cermat,25,5,12274,18411,24548,30685,36822,42959,61370,85920,114560,572800
USD,19,PRIA,Flexi Cermat,,10,6709,9435,12580,15725,18870,22015,31450,47175,62900,293500
USD,19,PRIA,Flexi Cermat,,15,4230,6345,7932,9915,11898,13881,19830,29745,39660,185100
USD,19,PRIA,Flexi Cermat,35,5,8766,13149,17532,21915,26298,30681,43830,65745,81820,409100
USD,19,PRIA,Flexi Cermat,,10,4498,6747,8434,10543,12651,14760,21085,31628,42170,196750
USD,19,PRIA,Flexi Cermat,,15,3022,4533,6044,7500,8502,9919,14170,21255,28340,132250
IDR,19,WANITA,Flexi Amanah,YRT,1,-,-,-,-,4.5,5.3,7.6,11.3,15.1,75.5
IDR,19,WANITA,Flexi Amanah,5,5,-,-,-,-,4.5,5.3,7.6,11.3,15.1,75.5
IDR,19,WANITA,Flexi Amanah,10,10,-,-,-,-,4.6,5.3,7.6,11.4,15.2,76.0
IDR,19,WANITA,Flexi Berkah,91,5,23.6,35.4,47.2,59.0,70.8,77.5,110.7,166.0,221.3,1,032.5
IDR,19,WANITA,Flexi Berkah,,10,12.3,18.4,21.9,27.3,32.8,38.3,54.7,76.9,102.5,512.5
IDR,19,WANITA,Flexi Berkah,,15,8.8,11.8,15.8,19.2,21.1,24.6,35.1,52.7,70.2,329.0
IDR,19,WANITA,Flexi Cermat,15,5,132.8,199.2,265.5,331.9,398.3,464.7,663.9,995.8,1,327.7,6,638.5
IDR,19,WANITA,Flexi Cermat,,10,71.8,107.7,143.6,179.5,215.3,251.2,358.9,538.4,717.8,3,589.0
IDR,19,WANITA,Flexi Cermat,25,5,81.0,121.6,162.1,202.6,243.1,283.6,405.2,607.8,756.4,3,782.0
IDR,19,WANITA,Flexi Cermat,,10,44.3,66.5,83.1,103.8,124.6,145.4,207.7,311.5,415.3,1,938.0
IDR,19,WANITA,Flexi Cermat,,15,30.5,45.7,60.9,75.0,85.7,100.0,142.8,214.2,285.6,1,333.0
IDR,19,WANITA,Flexi Cermat,35,5,47.4,71.1,88.9,111.2,133.4,155.6,222.3,333.5,444.6,2,075.0
IDR,19,WANITA,Flexi Cermat,,10,26.4,39.6,52.8,66.0,75.0,86.6,123.7,185.6,247.4,1,154.5
IDR,19,WANITA,Flexi Cermat,,15,18.7,24.9,33.2,41.5,49.8,58.1,77.9,116.8,155.7,726.5
USD,19,WANITA,Flexi Amanah,YRT,1,-,-,-,-,453,529,755,1133,1510,7550
USD,19,WANITA,Flexi Amanah,5,5,-,-,-,-,453,529,755,1133,1510,7550
USD,19,WANITA,Flexi Amanah,10,10,-,-,-,-,456,532,760,1140,1520,7600
USD,19,WANITA,Flexi Berkah,91,5,9323,13985,18646,23308,27969,32631,46615,69923,87020,435100
USD,19,WANITA,Flexi Berkah,,10,4856,7284,9106,11383,13659,15936,22765,34148,45530,212450
USD,19,WANITA,Flexi Berkah,,15,3465,5198,6930,8120,9744,11368,16240,24360,32480,151600
USD,19,WANITA,Flexi Cermat,15,5,16812,25218,33624,42030,50436,58842,84060,126090,168120,840600
USD,19,WANITA,Flexi Cermat,,10,8669,13004,17338,21673,26007,30342,43345,65018,86690,433450
USD,19,WANITA,Flexi Cermat,25,5,11892,17838,23784,29730,35676,41622,59460,83243,110990,554950
USD,19,WANITA,Flexi Cermat,,10,6561,9227,12302,15378,18453,21529,30755,46133,61510,287050
USD,19,WANITA,Flexi Cermat,,15,4134,6201,7752,9690,11628,13566,19380,29070,38760,180900
USD,19,WANITA,Flexi Cermat,35,5,8451,12677,16902,21128,25353,29579,42255,63383,78880,394400
USD,19,WANITA,Flexi Cermat,,10,4326,6489,8112,10140,12168,14196,20280,30420,40560,189300
USD,19,WANITA,Flexi Cermat,,15,2936,4404,5872,7340,8259,9636,13765,20648,27530,128450
IDR,20,PRIA,Flexi Amanah,YRT,1,-,-,-,4.9,5.9,6.8,9.8,14.6,19.5,97.5
IDR,20,PRIA,Flexi Amanah,5,5,-,-,-,4.9,5.9,6.8,9.8,14.6,19.5,97.5
IDR,20,PRIA,Flexi Amanah,10,10,-,-,-,4.9,5.9,6.9,9.8,14.7,19.6,98.0
IDR,20,PRIA,Flexi Berkah,90,5,28.1,42.2,56.2,70.3,79.1,92.2,131.8,197.6,263.5,1,229.5
IDR,20,PRIA,Flexi Berkah,,10,14.6,19.5,26.0,32.5,39.0,45.5,65.1,91.5,122.0,610.0
IDR,20,PRIA,Flexi Berkah,,15,10.8,14.5,19.2,21.5,25.8,30.1,43.0,64.5,80.6,403.0
IDR,20,PRIA,Flexi Cermat,15,5,140.4,210.6,280.8,351.1,421.3,491.5,702.1,1,053.2,1,404.2,7,021.0
IDR,20,PRIA,Flexi Cermat,,10,74.1,111.1,148.2,185.2,222.2,259.3,370.4,555.6,740.8,3,704.0
IDR,20,PRIA,Flexi Cermat,25,5,81.8,122.8,163.7,204.6,245.5,286.4,409.2,613.8,763.8,3,819.0
IDR,20,PRIA,Flexi Cermat,,10,46.3,69.4,86.7,108.4,130.1,151.8,216.9,325.3,433.7,2,023.5
IDR,20,PRIA,Flexi Cermat,,15,31.5,47.3,63.0,75.0,88.7,103.4,147.8,221.6,295.5,1,379.0
IDR,20,PRIA,Flexi Cermat,35,5,48.5,72.7,90.9,113.6,136.4,159.1,227.3,340.9,454.5,2,121.0
IDR,20,PRIA,Flexi Cermat,,10,27.2,40.8,54.3,67.9,76.4,89.1,127.4,191.0,254.7,1,188.5
IDR,20,PRIA,Flexi Cermat,,15,19.6,29.4,39.2,49.0,58.8,68.6,91.9,137.9,183.8,857.5
USD,20,PRIA,Flexi Amanah,YRT,1,-,-,-,488,585,683,975,1463,1950,9750
USD,20,PRIA,Flexi Amanah,5,5,-,-,-,488,585,683,975,1463,1950,9750
USD,20,PRIA,Flexi Amanah,10,10,-,-,-,490,588,686,980,1470,1960,9800
