Mata_Uang,Usia,Gender,Plan,Term,PPP,100_Ribu,150_Ribu,200_Ribu,250_Ribu,300_Ribu,350_Ribu,500_Ribu,750_Ribu,1_Juta,5_Juta
USD,0,WANITA,Flexi Cermat,,15,2878,4317,5756,7195,8094,9443,13490,20235,26980,125900
IDR,1,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,1,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
IDR,1,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
IDR,1,PRIA,Flexi Berkah,109,5,17.6,23.5,31.3,39.2,47.0,54.8,75.0,110.1,146.8,700.0
IDR,1,PRIA,Flexi Berkah,,10,9.2,12.4,16.5,19.2,22.0,25.7,36.7,55.1,73.4,344.0
IDR,1,PRIA,Flexi Berkah,,15,6.6,9.9,11.9,14.9,17.9,19.2,26.5,39.8,53.0,248.5
IDR,1,PRIA,Flexi Cermat,15,5,138.1,207.2,276.2,345.3,414.3,483.4,690.5,1,035.8,1,381.0,6,905.0
IDR,1,PRIA,Flexi Cermat,,10,71.4,107.1,142.8,178.5,214.1,249.8,356.9,535.4,713.8,3,569.0
IDR,1,PRIA,Flexi Cermat,25,5,81.3,122.0,162.6,203.3,244.0,284.6,406.6,609.9,758.9,3,794.5
IDR,1,PRIA,Flexi Cermat,,10,45.9,68.9,86.1,107.6,129.1,150.6,215.2,322.8,430.4,2,008.5
IDR,1,PRIA,Flexi Cermat,,15,31.3,46.9,62.6,75.0,88.0,102.7,146.7,220.0,293.3,1,369.0
IDR,1,PRIA,Flexi Cermat,35,5,47.5,71.3,89.1,111.4,133.7,156.0,222.9,334.3,445.7,2,080.0
IDR,1,PRIA,Flexi Cermat,,10,26.9,40.3,53.7,67.2,75.5,88.1,125.9,188.9,251.8,1,175.0
IDR,1,PRIA,Flexi Cermat,,15,19.4,29.0,38.7,48.4,58.1,67.8,90.8,136.1,181.5,847.0
USD,1,PRIA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
USD,1,PRIA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
USD,1,PRIA,Flexi Amanah,10,10,-,-,-,-,-,-,-,-,-,-
USD,1,PRIA,Flexi Berkah,109,5,7419,10434,13912,17390,20868,24346,34780,52170,69560,324600
USD,1,PRIA,Flexi Berkah,,10,3622,5433,7244,8490,10188,11886,16980,25470,33960,158500
USD,1,PRIA,Flexi Berkah,,15,2616,3924,5232,6540,7500,8586,12265,18398,24530,114450
USD,1,PRIA,Flexi Cermat,15,5,16740,25110,33480,41850,50220,58590,83700,125550,167400,837000
USD,1,PRIA,Flexi Cermat,,10,8646,12969,17292,21615,25938,30261,43230,64845,86460,432300
USD,1,PRIA,Flexi Cermat,25,5,12208,18312,24416,30520,36624,42728,61040,85455,113940,569700
USD,1,PRIA,Flexi Cermat,,10,6666,9374,12498,15623,18747,21872,31245,46868,62490,291600
USD,1,PRIA,Flexi Cermat,,15,4205,6308,7884,9855,11826,13797,19710,29565,39420,183950
USD,1,PRIA,Flexi Cermat,35,5,8603,12905,17206,21508,25809,30111,43015,64523,80300,401500
USD,1,PRIA,Flexi Cermat,,10,4415,6623,8278,10348,12417,14487,20695,31043,41390,193150
USD,1,PRIA,Flexi Cermat,,15,2974,4461,5948,7435,8364,9758,13940,20910,27880,130100
IDR,1,WANITA,Flexi Amanah,YRT,1,-,-,-,-,-,-,-,-,-,-
IDR,1,WANITA,Flexi Amanah,5,5,-,-,-,-,-,-,-,-,-,-
